Perceived_Hearing_Meaning,Hearing_FOMO,Hearing_Test_Barrier,Missed_Important_Sounds,Left_Out_Due_To_Hearing,Daily_Headphone_Use,Belief_Early_Hearing_Care,Last_Hearing_Test_Method,Interest_in_Hearing_App,Desired_App_Features,Awareness_on_hearing_and_Willingness_to_invest,Paid_App_Test_Interest,Age_group,Ear_Discomfort_After_Use
Staying connected with the world,Rarely,Lack of awareness,"Iâ€™m not sure, but I have felt disconnected",Only in noisy places,More than 4 hours,4,I've never taken a hearing test,"Maybe, if it's easy to use","Quick tests, Earphone calibration, Regular testing reminders",Yes,"No, I prefer getting tested at a hospital",18 - 24,Occasionally
Staying connected with the world,Yes often,Cost,"Yes, during important work or school meetings","Yes, often",1-2 hours,5,Mobile app,"Yes, that would be helpful","Quick tests, Game-based interaction, Detailed report generation",Yes,"Yes, definitely",18 - 24,Yes
"Enjoying music, laughter, and life",Sometimes,Cost,"Yes, during important work or school meetings",Sometimes,1-2 hours,2,Mobile app,"Maybe, if it's easy to use","Earphone calibration, Regular testing reminders, Doctor consultation",Yes,"Maybe, if it offers good value",18 - 24,No
"Enjoying music, laughter, and life",Sometimes,Shame,"Iâ€™m not sure, but I have felt disconnected",Only in noisy places,2-4 hours,2,Mobile app,"Maybe, if it's easy to use","Quick tests, Game-based interaction, Doctor consultation",Yes,"Maybe, if it offers good value",18 - 24,Yes
"Feeling close to loved ones, Enjoying music, laughter, and life, Staying connected with the world",Rarely,Not that much required ,"Yes, in public spaces (trains, shops, announcements)",Never,2-4 hours,5,I've never taken a hearing test,"Maybe, if it's easy to use","Quick tests, Earphone calibration, Regular testing reminders, Doctor consultation, Report sharing options, Do's and don't in personalized manner ",Yes,"Maybe, if it offers good value",18 - 24,Occasionally
"Staying independent and alert, Enjoying music, laughter, and life, Staying connected with the world",Rarely,Lack of awareness,"Yes, in public spaces (trains, shops, announcements)",Sometimes,Less than 1 hour,5,I've never taken a hearing test,"Yes, that would be helpful","Quick tests, Earphone calibration, Regular testing reminders, Detailed report generation, Doctor consultation, Personalized volume adjustments, Soft guidance, Report sharing options",Yes,"Maybe, if it offers good value",18 - 24,No
Staying independent and alert,Sometimes,Never had a situation to get tested.,"Yes, in family conversations",Only in noisy places,2-4 hours,4,I've never taken a hearing test,"Maybe, if it's easy to use","Quick tests, Earphone calibration, Detailed report generation, Personalized volume adjustments, Soft guidance",No,"Maybe, if it offers good value",18 - 24,Occasionally
"Enjoying music, laughter, and life",Sometimes,Lack of awareness,"Yes, during important work or school meetings",Only in noisy places,Less than 1 hour,3,I've never taken a hearing test,"No, I don't think it's necessary",Game-based interaction,Yes,"Yes, definitely",18 - 24,No
Staying connected with the world,Sometimes,Lack of awareness,"Yes, in public spaces (trains, shops, announcements)",Sometimes,1-2 hours,2,I've never taken a hearing test,"Maybe, if it's easy to use","Quick tests, Earphone calibration, Regular testing reminders, Audio amplifier or sound booster",Yes,"Maybe, if it offers good value",18 - 24,Not sure
"Staying independent and alert, Enjoying music, laughter, and life, Staying connected with the world",Sometimes,Fear,"Yes, in family conversations","Yes, often",Less than 1 hour,5,Online test,"Maybe, if it's easy to use","Quick tests, Game-based interaction, Earphone calibration, Doctor consultation, Soft guidance",Yes,"No, I prefer getting tested at a hospital",18 - 24,Yes
"Enjoying music, laughter, and life, Staying connected with the world",Never,Lack of awareness,"No, I usually hear things well",Only in noisy places,Less than 1 hour,5,I've never taken a hearing test,"Yes, that would be helpful","Quick tests, Game-based interaction, Earphone calibration, Regular testing reminders, Detailed report generation, Doctor consultation, Audio amplifier or sound booster, Personalized volume adjustments, Soft guidance, Report sharing options",Yes,"Maybe, if it offers good value",18 - 24,Occasionally
"Feeling close to loved ones, Staying independent and alert, Enjoying music, laughter, and life, Staying connected with the world",Rarely,Cost,"No, I usually hear things well",Never,1-2 hours,5,I've never taken a hearing test,"Yes, that would be helpful","Quick tests, Game-based interaction, Earphone calibration, Regular testing reminders, Detailed report generation, Doctor consultation, Audio amplifier or sound booster, Personalized volume adjustments, Soft guidance",Yes,"Maybe, if it offers good value",18 - 24,No
"Feeling close to loved ones, Staying independent and alert, Enjoying music, laughter, and life, Staying connected with the world",Sometimes,Cost,"Yes, in public spaces (trains, shops, announcements)",Only in noisy places,More than 4 hours,5,Mobile app,"Maybe, if it's easy to use","Regular testing reminders, Detailed report generation, Audio amplifier or sound booster, Personalized volume adjustments",Yes,"No, I prefer getting tested at a hospital",25 - 34,Occasionally
Staying connected with the world,Never,Lack of awareness,"Yes, in public spaces (trains, shops, announcements)",Only in noisy places,1-2 hours,4,I've never taken a hearing test,"Yes, that would be helpful",Quick tests,Yes,"No, I prefer getting tested at a hospital",45 - 54,Occasionally
Staying connected with the world,Never,Lack of awareness,"Iâ€™m not sure, but I have felt disconnected",Sometimes,Less than 1 hour,5,I've never taken a hearing test,"Maybe, if it's easy to use","Quick tests, Game-based interaction",Yes,"Maybe, if it offers good value",25 - 34,No
"Feeling close to loved ones, Staying independent and alert, Enjoying music, laughter, and life, Staying connected with the world, I havenâ€™t thought about it much",Rarely,Lack of awareness,"Yes, during important work or school meetings",Only in noisy places,1-2 hours,5,I've never taken a hearing test,"Yes, that would be helpful","Quick tests, Game-based interaction, Earphone calibration, Doctor consultation, Soft guidance",No,"Maybe, if it offers good value",18 - 24,Occasionally
Staying connected with the world,Rarely,Lack of awareness,"Iâ€™m not sure, but I have felt disconnected",Never,Less than 1 hour,5,I've never taken a hearing test,"Maybe, if it's easy to use",Audio amplifier or sound booster,Yes,"Maybe, if it offers good value",18 - 24,No
"Feeling close to loved ones, Staying independent and alert, Staying connected with the world",Yes often,Lack of awareness,"No, I usually hear things well",Sometimes,2-4 hours,4,I've never taken a hearing test,"Yes, that would be helpful","Quick tests, Game-based interaction, Detailed report generation, Doctor consultation, Soft guidance, Report sharing options",Yes,"Yes, definitely",18 - 24,Yes
"Enjoying music, laughter, and life",Rarely,None of the above,"Iâ€™m not sure, but I have felt disconnected",Only in noisy places,Less than 1 hour,4,At a hospital or clinic,"No, I don't think it's necessary","Earphone calibration, Regular testing reminders, Personalized volume adjustments, Report sharing options",No,"No, I prefer getting tested at a hospital",25 - 34,No
Staying connected with the world,Rarely,Fear,"Iâ€™m not sure, but I have felt disconnected",Sometimes,2-4 hours,1,I've never taken a hearing test,"Yes, that would be helpful","Quick tests, Earphone calibration, Regular testing reminders, Detailed report generation, Doctor consultation, Soft guidance",Yes,"Maybe, if it offers good value",18 - 24,Yes
"Enjoying music, laughter, and life",Rarely,Shame,"Yes, during important work or school meetings",Never,1-2 hours,2,I've never taken a hearing test,"Maybe, if it's easy to use",Earphone calibration,Yes,"Maybe, if it offers good value",18 - 24,Occasionally
I havenâ€™t thought about it much,Never,Lack of awareness,I can't hear claerly when tell important information in serious situation ,Only in noisy places,Less than 1 hour,2,I've never taken a hearing test,"No, I don't think it's necessary","Quick tests, Doctor consultation",No,"No, I prefer getting tested at a hospital",18 - 24,Yes
Feeling close to loved ones,Sometimes,Shame,"Yes, during important work or school meetings",Sometimes,1-2 hours,1,At a hospital or clinic,"Maybe, if it's easy to use","Regular testing reminders, Doctor consultation",Yes,"Yes, definitely",18 - 24,No
"Enjoying music, laughter, and life",Sometimes,Fear,"Iâ€™m not sure, but I have felt disconnected",Sometimes,1-2 hours,3,I've never taken a hearing test,"Yes, that would be helpful",Game-based interaction,No,"Maybe, if it offers good value",18 - 24,Yes
"Enjoying music, laughter, and life",Sometimes,Fear,"Yes, in family conversations",I try to avoid such situations,1-2 hours,2,I've never taken a hearing test,"Yes, that would be helpful","Quick tests, Game-based interaction",Yes,"Maybe, if it offers good value",18 - 24,No
"Enjoying music, laughter, and life",Sometimes,Shame,"Yes, in public spaces (trains, shops, announcements)",Never,More than 4 hours,1,I've never taken a hearing test,"Yes, that would be helpful","Quick tests, Game-based interaction, Earphone calibration, Regular testing reminders, Detailed report generation, Doctor consultation, Audio amplifier or sound booster, Personalized volume adjustments, Soft guidance, Report sharing options",Yes,"Yes, definitely",18 - 24,No
"Feeling close to loved ones, Staying connected with the world",Sometimes,Lack of awareness,"Iâ€™m not sure, but I have felt disconnected",I try to avoid such situations,2-4 hours,1,I've never taken a hearing test,"No, I don't think it's necessary","Audio amplifier or sound booster, Sound Frequency ",No,"No, I prefer getting tested at a hospital",18 - 24,Not sure
"Enjoying music, laughter, and life",Sometimes,Lack of awareness,"Yes, during important work or school meetings",Sometimes,More than 4 hours,5,I've never taken a hearing test,"Yes, that would be helpful","Quick tests, Game-based interaction, Earphone calibration, Regular testing reminders, Detailed report generation, Doctor consultation, Audio amplifier or sound booster, Personalized volume adjustments, Soft guidance, Report sharing options",Yes,"Maybe, if it offers good value",18 - 24,Yes
"Enjoying music, laughter, and life, Staying connected with the world",Never,Lack of awareness,"No, I usually hear things well",Never,More than 4 hours,5,I've never taken a hearing test,"Maybe, if it's easy to use","Quick tests, Game-based interaction, Regular testing reminders, Report sharing options",Yes,"Maybe, if it offers good value",45 - 54,No
"Enjoying music, laughter, and life",Rarely,Lack of awareness,"Yes, in public spaces (trains, shops, announcements)",Only in noisy places,2-4 hours,4,I've never taken a hearing test,"Yes, that would be helpful","Quick tests, Game-based interaction, Earphone calibration, Detailed report generation, Doctor consultation, Audio amplifier or sound booster, Personalized volume adjustments, Soft guidance",Yes,"Maybe, if it offers good value",18 - 24,Occasionally
"Feeling close to loved ones, Staying connected with the world",Rarely,Lack of awareness,"No, I usually hear things well",I try to avoid such situations,Less than 1 hour,1,I've never taken a hearing test,"Maybe, if it's easy to use","Quick tests, Game-based interaction, Regular testing reminders, Detailed report generation, Doctor consultation, Personalized volume adjustments, Soft guidance, Report sharing options",Yes,"No, I prefer getting tested at a hospital",18 - 24,No
"Staying independent and alert, Enjoying music, laughter, and life, Staying connected with the world",Never,Lack of awareness,"No, I usually hear things well",Never,1-2 hours,5,I've never taken a hearing test,"Maybe, if it's easy to use","Quick tests, Regular testing reminders, Detailed report generation, Doctor consultation, Report sharing options",No,"No, I prefer getting tested at a hospital",18 - 24,No
"Enjoying music, laughter, and life, Staying connected with the world",Rarely,Lack of awareness,"No, I usually hear things well",Only in noisy places,More than 4 hours,5,I've never taken a hearing test,"Yes, that would be helpful","Quick tests, Game-based interaction, Earphone calibration, Regular testing reminders, Detailed report generation, Doctor consultation, Audio amplifier or sound booster, Personalized volume adjustments, Soft guidance, Report sharing options",Yes,"Maybe, if it offers good value",18 - 24,Not sure
Staying connected with the world,Rarely,Lack of awareness,"Iâ€™m not sure, but I have felt disconnected",Only in noisy places,Less than 1 hour,5,I've never taken a hearing test,"Maybe, if it's easy to use","Quick tests, Earphone calibration, Detailed report generation, Doctor consultation, Personalized volume adjustments, Soft guidance",Yes,"Maybe, if it offers good value",18 - 24,Occasionally
Staying independent and alert,Rarely,Lack of awareness,"Yes, in family conversations",Sometimes,Less than 1 hour,5,I've never taken a hearing test,"Maybe, if it's easy to use",Game-based interaction,Yes,"No, I prefer getting tested at a hospital",18 - 24,Yes
"Staying independent and alert, Enjoying music, laughter, and life, Staying connected with the world",Sometimes,Lack of awareness,"Iâ€™m not sure, but I have felt disconnected",Never,1-2 hours,3,I've never taken a hearing test,"Maybe, if it's easy to use","Quick tests, Regular testing reminders, Detailed report generation, Doctor consultation",No,"Maybe, if it offers good value",18 - 24,No
"Enjoying music, laughter, and life",Never,Lack of awareness,"No, I usually hear things well",Never,1-2 hours,1,I've never taken a hearing test,"Maybe, if it's easy to use",Detailed report generation,No,"No, I prefer getting tested at a hospital",18 - 24,No
"Feeling close to loved ones, Staying independent and alert, Enjoying music, laughter, and life, Staying connected with the world",Never,I never had any issues ,"No, I usually hear things well",Never,Less than 1 hour,5,I've never taken a hearing test,"Maybe, if it's easy to use","Quick tests, Game-based interaction, Earphone calibration, Regular testing reminders, Detailed report generation, Doctor consultation, Audio amplifier or sound booster, Personalized volume adjustments, Soft guidance, Report sharing options",Yes,"Maybe, if it offers good value",35 - 44,No
I havenâ€™t thought about it much,Sometimes,"Cost, Lack of awareness","Yes, in public spaces (trains, shops, announcements)",Never,1-2 hours,5,I've never taken a hearing test,"Maybe, if it's easy to use","Earphone calibration, Audio amplifier or sound booster, Personalized volume adjustments",Yes,"Maybe, if it offers good value",18 - 24,Yes
Staying connected with the world,Never,Lack of awareness,"No, I usually hear things well",Never,Less than 1 hour,5,I've never taken a hearing test,"Maybe, if it's easy to use","Quick tests, Regular testing reminders, Detailed report generation",Yes,"Maybe, if it offers good value",18 - 24,No
Staying independent and alert,Rarely,Lack of awareness,"No, I usually hear things well",Only in noisy places,2-4 hours,5,I've never taken a hearing test,"Yes, that would be helpful","Quick tests, Game-based interaction, Regular testing reminders, Detailed report generation, Audio amplifier or sound booster, Report sharing options",Yes,"Yes, definitely",18 - 24,Occasionally
"Staying independent and alert, Enjoying music, laughter, and life, Staying connected with the world",Never,NA,"No, I usually hear things well",Never,1-2 hours,3,I've never taken a hearing test,"Maybe, if it's easy to use",Quick tests,Yes,"Maybe, if it offers good value",18 - 24,Occasionally
"Feeling close to loved ones, Staying independent and alert, Enjoying music, laughter, and life, Staying connected with the world",Sometimes,Lack of awareness,"Yes, during important work or school meetings",Sometimes,Less than 1 hour,3,I've never taken a hearing test,"No, I don't think it's necessary","Quick tests, Game-based interaction, Earphone calibration, Regular testing reminders, Detailed report generation, Doctor consultation, Audio amplifier or sound booster, Personalized volume adjustments, Soft guidance, Report sharing options",Yes,"No, I prefer getting tested at a hospital",18 - 24,Occasionally
Staying connected with the world,Sometimes,Lack of awareness,"No, I usually hear things well",Only in noisy places,Less than 1 hour,5,I've never taken a hearing test,"Yes, that would be helpful","Quick tests, Soft guidance, Report sharing options",Yes,"Maybe, if it offers good value",35 - 44,Occasionally
Feeling close to loved ones,Sometimes,Lack of awareness,"Iâ€™m not sure, but I have felt disconnected",Sometimes,Less than 1 hour,5,I've never taken a hearing test,"Maybe, if it's easy to use",Quick tests,Yes,"No, I prefer getting tested at a hospital",18 - 24,No
"Enjoying music, laughter, and life",Sometimes,Lack of awareness,"Yes, during important work or school meetings",Only in noisy places,2-4 hours,5,I've never taken a hearing test,"Maybe, if it's easy to use","Game-based interaction, Soft guidance",Yes,"Maybe, if it offers good value",18 - 24,Occasionally
"Feeling close to loved ones, Staying independent and alert, Staying connected with the world",Rarely,Lack of awareness,"Yes, in public spaces (trains, shops, announcements)",Only in noisy places,1-2 hours,4,I've never taken a hearing test,"Yes, that would be helpful","Quick tests, Earphone calibration, Detailed report generation, Doctor consultation, Personalized volume adjustments, Report sharing options",Yes,"Maybe, if it offers good value",18 - 24,No
"Feeling close to loved ones, Staying independent and alert, Enjoying music, laughter, and life",Rarely,Lack of awareness,"Yes, in public spaces (trains, shops, announcements)",Never,Less than 1 hour,5,I've never taken a hearing test,"Yes, that would be helpful","Quick tests, Earphone calibration, Regular testing reminders, Detailed report generation, Doctor consultation, Audio amplifier or sound booster, Personalized volume adjustments, Report sharing options",Yes,"Maybe, if it offers good value",18 - 24,No
Staying connected with the world,Sometimes,Lack of awareness,"Yes, in public spaces (trains, shops, announcements)",Never,1-2 hours,5,Mobile app,"Yes, that would be helpful",Game-based interaction,Yes,"Yes, definitely",35 - 44,No
"Enjoying music, laughter, and life, Staying connected with the world",Sometimes,Lack of awareness,"Yes, in family conversations",Only in noisy places,2-4 hours,5,I've never taken a hearing test,"Yes, that would be helpful","Quick tests, Game-based interaction, Regular testing reminders, Detailed report generation, Doctor consultation, Personalized volume adjustments, Report sharing options",Yes,"Maybe, if it offers good value",18 - 24,No
Staying connected with the world,Yes often,"Fear, Lack of awareness","Yes, during important work or school meetings","Yes, often",1-2 hours,3,I've never taken a hearing test,"Yes, that would be helpful","Quick tests, Earphone calibration, Doctor consultation",Yes,"Maybe, if it offers good value",18 - 24,Occasionally
Staying connected with the world,Rarely,"Fear, Lack of awareness","No, I usually hear things well",Only in noisy places,1-2 hours,4,I've never taken a hearing test,"Maybe, if it's easy to use","Quick tests, Game-based interaction, Regular testing reminders, Detailed report generation, Personalized volume adjustments, Soft guidance",No,"No, I prefer getting tested at a hospital",18 - 24,Not sure
"Staying independent and alert, Enjoying music, laughter, and life, Staying connected with the world",Sometimes,"Cost, Lack of awareness","Yes, in family conversations",Sometimes,2-4 hours,5,I've never taken a hearing test,"Yes, that would be helpful","Quick tests, Game-based interaction, Earphone calibration, Regular testing reminders, Detailed report generation, Doctor consultation, Audio amplifier or sound booster, Personalized volume adjustments, Soft guidance, Report sharing options",Yes,"Maybe, if it offers good value",18 - 24,Occasionally
Staying connected with the world,Rarely,Lack of awareness,"Yes, in public spaces (trains, shops, announcements)",Sometimes,Less than 1 hour,5,I've never taken a hearing test,"Maybe, if it's easy to use","Quick tests, Game-based interaction",Yes,"Maybe, if it offers good value",18 - 24,No
Feeling close to loved ones,Sometimes,Lack of awareness,"Yes, during important work or school meetings",Sometimes,More than 4 hours,3,I've never taken a hearing test,"Yes, that would be helpful","Quick tests, Game-based interaction, Detailed report generation, Doctor consultation",Yes,"Maybe, if it offers good value",18 - 24,No
"Staying independent and alert, Staying connected with the world",Never,"I never thought I need one, probably?","No, I usually hear things well",Only in noisy places,1-2 hours,4,I've never taken a hearing test,"Maybe, if it's easy to use","Quick tests, Earphone calibration, Regular testing reminders, Detailed report generation, Doctor consultation, Personalized volume adjustments, Soft guidance, Report sharing options",Yes,"Maybe, if it offers good value",18 - 24,Occasionally
"Feeling close to loved ones, Staying independent and alert, Enjoying music, laughter, and life, Staying connected with the world",Sometimes,"Fear, Lack of awareness","Yes, in public spaces (trains, shops, announcements)",Sometimes,1-2 hours,4,Online test,"Maybe, if it's easy to use","Quick tests, Earphone calibration, Regular testing reminders, Doctor consultation, Audio amplifier or sound booster, Soft guidance, Report sharing options",Yes,"Maybe, if it offers good value",18 - 24,Occasionally
"Feeling close to loved ones, Staying independent and alert, Enjoying music, laughter, and life, Staying connected with the world",Never,Lack of awareness,"Yes, in public spaces (trains, shops, announcements)",Only in noisy places,Less than 1 hour,5,I've never taken a hearing test,"Yes, that would be helpful","Quick tests, Game-based interaction, Earphone calibration, Regular testing reminders, Detailed report generation, Doctor consultation",Yes,"Yes, definitely",25 - 34,Occasionally
Feeling close to loved ones,Rarely,Lack of awareness,"No, I usually hear things well",Only in noisy places,2-4 hours,4,Online test,"Maybe, if it's easy to use",Regular testing reminders,Yes,"Maybe, if it offers good value",18 - 24,Occasionally
"Enjoying music, laughter, and life",Sometimes,"Fear, Lack of awareness","Iâ€™m not sure, but I have felt disconnected",Sometimes,1-2 hours,5,I've never taken a hearing test,"Yes, that would be helpful","Quick tests, Game-based interaction, Earphone calibration, Detailed report generation, Doctor consultation, Audio amplifier or sound booster, Personalized volume adjustments, Soft guidance",Yes,"Maybe, if it offers good value",18 - 24,Occasionally
I havenâ€™t thought about it much,Yes often,Lack of awareness,"No, I usually hear things well",Never,Less than 1 hour,5,At a hospital or clinic,"Yes, that would be helpful","Quick tests, Game-based interaction, Personalized volume adjustments",Yes,"No, I prefer getting tested at a hospital",18 - 24,Occasionally
I havenâ€™t thought about it much,Sometimes,Lack of awareness,"Iâ€™m not sure, but I have felt disconnected",Only in noisy places,More than 4 hours,4,I've never taken a hearing test,"Yes, that would be helpful","Earphone calibration, Regular testing reminders, Detailed report generation, Audio amplifier or sound booster, Personalized volume adjustments, Soft guidance",Yes,"Maybe, if it offers good value",18 - 24,Yes
"Enjoying music, laughter, and life, Staying connected with the world",Never,Lack of awareness,"No, I usually hear things well",Only in noisy places,More than 4 hours,5,I've never taken a hearing test,"No, I don't think it's necessary","Quick tests, Regular testing reminders, Detailed report generation, Doctor consultation, Audio amplifier or sound booster, Report sharing options",Yes,"No, I prefer getting tested at a hospital",18 - 24,Not sure
"Staying independent and alert, Enjoying music, laughter, and life",Never,Fear,"Yes, during important work or school meetings",Sometimes,Less than 1 hour,1,I've never taken a hearing test,"No, I don't think it's necessary",Quick tests,No,"No, I prefer getting tested at a hospital",Under 18,Occasionally
Feeling close to loved ones,Sometimes,Cost,"Yes, in family conversations","Yes, often",Less than 1 hour,2,Mobile app,"Yes, that would be helpful",Quick tests,Yes,"Yes, definitely",18 - 24,No
"Feeling close to loved ones, Enjoying music, laughter, and life, I havenâ€™t thought about it much",Never,Lack of awareness,"No, I usually hear things well",Never,1-2 hours,5,I've never taken a hearing test,"No, I don't think it's necessary","Quick tests, Regular testing reminders, Detailed report generation, Doctor consultation, Audio amplifier or sound booster, Personalized volume adjustments",Yes,"No, I prefer getting tested at a hospital",25 - 34,No
Staying connected with the world,Sometimes,Fear,"Yes, during important work or school meetings",Sometimes,1-2 hours,3,Online test,"Maybe, if it's easy to use",Doctor consultation,Yes,"Maybe, if it offers good value",18 - 24,No
Staying connected with the world,Rarely,Lack of awareness,"No, I usually hear things well",Never,1-2 hours,1,I've never taken a hearing test,"No, I don't think it's necessary","Detailed report generation, Doctor consultation",No,"No, I prefer getting tested at a hospital",18 - 24,No
"Enjoying music, laughter, and life, Staying connected with the world",Sometimes,Lack of awareness,"Yes, during important work or school meetings",Only in noisy places,1-2 hours,4,I've never taken a hearing test,"Yes, that would be helpful",Quick tests,Yes,"Yes, definitely",18 - 24,Occasionally
"Staying independent and alert, Enjoying music, laughter, and life, Staying connected with the world",Sometimes,"Cost, Lack of awareness","No, I usually hear things well",Never,1-2 hours,4,I've never taken a hearing test,"Maybe, if it's easy to use","Quick tests, Game-based interaction, Regular testing reminders, Detailed report generation, Doctor consultation, Soft guidance",Yes,"No, I prefer getting tested at a hospital",18 - 24,Yes
"Enjoying music, laughter, and life",Sometimes,Lack of awareness,"Iâ€™m not sure, but I have felt disconnected",Only in noisy places,2-4 hours,5,I've never taken a hearing test,"Yes, that would be helpful","Quick tests, Detailed report generation, Doctor consultation, Soft guidance",Yes,"Maybe, if it offers good value",18 - 24,Occasionally
I havenâ€™t thought about it much,Sometimes,Lack of awareness,"Iâ€™m not sure, but I have felt disconnected",Only in noisy places,Less than 1 hour,3,I've never taken a hearing test,"No, I don't think it's necessary","Game-based interaction, Doctor consultation",Yes,"No, I prefer getting tested at a hospital",18 - 24,Not sure
Staying connected with the world,Sometimes,"Lack of awareness, ","Iâ€™m not sure, but I have felt disconnected",Sometimes,1-2 hours,3,Online test,"Maybe, if it's easy to use","Quick tests, Game-based interaction, Soft guidance",No,"No, I prefer getting tested at a hospital",18 - 24,Not sure
"Feeling close to loved ones, Staying independent and alert, Enjoying music, laughter, and life",Rarely,Lack of awareness,"Iâ€™m not sure, but I have felt disconnected",Never,Less than 1 hour,5,At a hospital or clinic,"Yes, that would be helpful","Game-based interaction, Regular testing reminders, Audio amplifier or sound booster",No,"No, I prefer getting tested at a hospital",18 - 24,No
"Staying independent and alert, Enjoying music, laughter, and life, Staying connected with the world",Sometimes,Lack of awareness,"No, I usually hear things well",Sometimes,1-2 hours,5,Mobile app,"Maybe, if it's easy to use",Game-based interaction,No,"Maybe, if it offers good value",18 - 24,Occasionally
Staying connected with the world,Rarely,Lack of awareness,"Yes, during important work or school meetings",Only in noisy places,Less than 1 hour,1,At a hospital or clinic,"No, I don't think it's necessary",Doctor consultation,Yes,"No, I prefer getting tested at a hospital",18 - 24,No
"Enjoying music, laughter, and life",Sometimes,Shame,"Yes, during important work or school meetings",Sometimes,1-2 hours,1,Online test,"Maybe, if it's easy to use",Regular testing reminders,Yes,"Maybe, if it offers good value",25 - 34,Yes
Staying connected with the world,Rarely,Lack of awareness,"No, I usually hear things well",I try to avoid such situations,Less than 1 hour,3,I've never taken a hearing test,"Maybe, if it's easy to use","Doctor consultation, Audio amplifier or sound booster, Soft guidance",Yes,"No, I prefer getting tested at a hospital",18 - 24,Yes
"Enjoying music, laughter, and life, Staying connected with the world",Sometimes,Lack of awareness,"No, I usually hear things well",Only in noisy places,Less than 1 hour,4,I've never taken a hearing test,"Maybe, if it's easy to use","Quick tests, Game-based interaction, Earphone calibration, Regular testing reminders, Detailed report generation",No,"Maybe, if it offers good value",25 - 34,No
"Feeling close to loved ones, Staying independent and alert, Enjoying music, laughter, and life, Staying connected with the world",Sometimes,Lack of awareness,"Yes, in public spaces (trains, shops, announcements)",Only in noisy places,Less than 1 hour,5,I've never taken a hearing test,"Maybe, if it's easy to use","Quick tests, Game-based interaction, Regular testing reminders, Detailed report generation, Doctor consultation, Personalized volume adjustments",No,"No, I prefer getting tested at a hospital",18 - 24,No
I havenâ€™t thought about it much,Sometimes,Cost,"Iâ€™m not sure, but I have felt disconnected",Sometimes,1-2 hours,4,Online test,"Maybe, if it's easy to use",Soft guidance,Yes,"Maybe, if it offers good value",18 - 24,Occasionally
